,url,address,neighborhood,rent,beds,baths,area,zip
127,https://www.renthop.com/listings/park-avenue/08o/64483471,Park Avenue,"Murray Hill, Midtown Manhattan, Manhattan",3800,0,1.0,,
128,https://www.renthop.com/listings/2216-frederick-douglass-boulevard/na/64485722,2216 Frederick Douglass Boulev...,"Central Harlem, Harlem, Upper Manhattan, Manhattan",2200,0,1.0,,10026
129,https://www.renthop.com/listings/west-55th-street/5f/63895563,West 55th Street,"Theater District, Midtown, Midtown Manhattan, Manhattan",4500,1,1.0,,
130,https://www.renthop.com/listings/west-141st-street/3d/64465868,West 141st Street,"Central Harlem, Harlem, Upper Manhattan, Manhattan",2795,2,1.0,,
131,https://www.renthop.com/listings/lenox-avenue/5n/64285818,Lenox Avenue,"Central Harlem, Harlem, Upper Manhattan, Manhattan",2600,2,1.0,,
132,https://www.renthop.com/listings/west-55th-street/5f/63895563,West 55th Street,"Theater District, Midtown, Midtown Manhattan, Manhattan",4500,1,1.0,,
133,https://www.renthop.com/listings/john-st/11f/64134429,John st,"Financial District, Downtown Manhattan, Manhattan",10000,5,2.0,"2,400_Sqft",
134,https://www.renthop.com/listings/2-saint-nicholas-terrace/6/63434876,"2 Saint Nicholas Terrace, Apt ...","Manhattanville, West Harlem, Harlem, Upper Manhattan, Manhattan",5250,4,2.0,,10027
135,https://www.renthop.com/listings/308-evergreen-ave/1/64336305,"308 Evergreen Ave, Apt 1","Bushwick, Northern Brooklyn, Brooklyn",3795,2,2.0,,11221
136,https://www.renthop.com/listings/522-west-50th-street/b1/61017630,"522 West 50th Street, Apt B1","Hell's Kitchen, Midtown Manhattan, Manhattan",2800,1,1.0,620_Sqft,10019
137,https://www.renthop.com/listings/east-96th-street/009a/64483475,East 96th Street,"East Harlem, Harlem, Upper Manhattan, Manhattan",3800,1,1.0,,
138,https://www.renthop.com/listings/95-wall-street/2303/64294153,"95 Wall Street, Apt 2303","Financial District, Downtown Manhattan, Manhattan",3552,0,1.0,454_Sqft,10005
139,https://www.renthop.com/listings/75th-st-and-ditmars-blvd/3/64415186,75th St and Ditmars Blvd,"Astoria Heights, Astoria, Northwestern Queens, Queens",2650,3,1.5,"1,180_Sqft",
140,https://www.renthop.com/listings/45-carmine-street/2e/64395911,"45 Carmine Street, Apt 2E","West Village, Downtown Manhattan, Manhattan",3400,0,1.0,,10014
141,https://www.renthop.com/listings/808-columbus-ave/12l/64446140,"808 Columbus Ave, Apt 12L","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",7228,2,1.0,782_Sqft,10025
142,https://www.renthop.com/listings/801-amsterdam-ave/15i/64285452,"801 Amsterdam Avenue, Apt 15I","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",4318,0,1.0,408_Sqft,10025
143,https://www.renthop.com/listings/3rd-avenue/na/64401472,3rd Avenue,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3750,0,1.0,,
144,https://www.renthop.com/listings/95-wall-street/2322/64363655,"95 Wall Street, Apt 2322","Financial District, Downtown Manhattan, Manhattan",6899,2,2.0,"1,022_Sqft",10005
145,https://www.renthop.com/listings/53-broadway/209/64455138,"53 Broadway, Apt 209","Williamsburg, Northern Brooklyn, Brooklyn",4000,1,1.0,700_Sqft,11249
146,https://www.renthop.com/listings/424-hawthorne-street/2/64473538,"424 Hawthorne Street, Apt 2","Wingate, East Flatbush, Central Brooklyn, Brooklyn",3399,3,1.0,,11203
147,https://www.renthop.com/listings/jane-street/2a/64418760,Jane Street,"West Village, Downtown Manhattan, Manhattan",3850,0,1.0,510_Sqft,
148,https://www.renthop.com/listings/astor-place/3n/64342333,Astor place,"NoHo, Downtown Manhattan, Manhattan",4450,1,1.0,650_Sqft,
149,https://www.renthop.com/listings/140-east-28th-street/10g/64473498,"140 East 28th Street, Apt 10G","Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",11500,2,2.0,"1,203_Sqft",10016
150,https://www.renthop.com/listings/east-9th-street/11/64485723,East 9th Street,"East Village, Downtown Manhattan, Manhattan",5250,2,1.0,,
151,https://www.renthop.com/listings/west-53rd-street/na/64013374,West 53rd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",5950,2,2.0,,
152,https://www.renthop.com/listings/235-west-48th-street/32g/64465907,"235 West 48th Street, Apt 32G","Theater District, Midtown, Midtown Manhattan, Manhattan",4775,1,1.0,,10036
153,https://www.renthop.com/listings/west-48th-street/a/15735771,West 48th Street,"Theater District, Midtown Manhattan, Manhattan",4449,1,1.0,,
154,https://www.renthop.com/listings/east-9th-street/11/64485723,East 9th Street,"East Village, Downtown Manhattan, Manhattan",5250,2,1.0,,
155,https://www.renthop.com/listings/west-53rd-street/na/64013374,West 53rd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",5950,2,2.0,,
